Order Date,Region,Category,Sub-Category,Sales,Quantity,Profit,Customer Name,Order ID,Product ID,Discount,Place,Shipping Cost,Delivery Status
2025-04-13,East,Office Supplies,Labels,74.68,5.0,3.58,Steven Jarvis,01aa43dd,1085d019-b,0.3,West Jeremiah,47.73,Delivered
2024-11-28,East,Technology,Copiers,155.44,8.0,15.3,Brian Graham,29896c1a,f311ebcd-1,0.0,Michaelchester,39.16,In Transit
2022-12-23,Central,Office Supplies,Paper,577.63,10.0,-113.92,Lawrence Walker,af57334c,45e87c42-2,0.3,East David,16.06,Delivered
2025-04-02,Central,Office Supplies,Art,673.21,4.0,-94.96,Heather Rivera,dc99a52b,5a810c07-f,0.3,Crossfurt,7.89,In Transit
2024-10-01,South,Furniture,Tables,371.72,10.0,94.71,Jeff Wood,f46a7e2a,be8d3108-b,0.0,West Jennifer,5.52,Delivered
2023-01-19,West,Furniture,Chairs,83.37,6.0,8.17,Christopher James DDS,e6159059,1bfa6b95-b,0.3,Jenniferstad,28.28,Delivered
2023-11-03,South,Furniture,Tables,558.47,4.0,-32.85,Curtis Mcneil,33f24d2e,13945fc2-7,0.0,Donaldchester,10.81,Delivered
2024-08-28,West,Technology,Copiers,857.42,9.0,164.59,Olivia Jones,28708e1e,c66bad0e-c,0.0,Wrightport,36.53,Delivered
2024-07-12,South,Furniture,Tables,858.05,6.0,-57.45,Jonathan Gordon,31380733,1837a8cb-3,0.2,Ronaldside,8.79,In Transit
2023-05-09,East,Technology,Accessories,769.88,,19.4,Stephen Holmes,428cfd8b,3961fff0-1,0.1,Franklinborough,27.71,Delivered
2025-03-04,South,Office Supplies,Art,970.63,10.0,149.93,Elizabeth Jones,e3213bd8,846fd3a4-f,0.0,Michellestad,48.51,Delivered
2024-06-04,West,Office Supplies,Binders,390.07,7.0,60.13,Jason Wood,672976c3,b0703cb3-8,0.1,,37.79,Delivered
2024-12-08,East,Technology,Accessories,180.98,3.0,14.46,Maria Colon,dbff4b34,ab614d2f-9,0.2,Campbellland,18.94,Returned
2024-11-04,West,Office Supplies,Art,277.21,6.0,81.52,Bethany Jordan,0251c45f,0ddd4079-a,0.0,Jeremymouth,28.06,In Transit
2024-03-27,Central,Office Supplies,Binders,311.32,8.0,65.45,Robin Heath,c48d59c3,895f44f0-b,0.0,South Joshuaborough,32.55,Returned
2025-04-16,Central,Technology,Machines,648.73,1.0,-61.91,Shane Cooper,fc9c126b,045cbea4-2,0.0,Markside,13.46,Cancelled
2023-05-09,East,Technology,Copiers,602.39,9.0,68.57,Ashley Ortega,17a8c3a3,e91ceb23-5,0.3,Nguyenfort,24.52,Delivered
2025-03-16,West,Technology,Machines,503.47,6.0,-91.33,Betty Rodriguez,06752942,12c6629e-9,0.1,Shannonstad,28.26,Delivered
2022-10-15,East,Furniture,Chairs,374.15,6.0,40.37,Joshua Price,fb62b885,c01add09-d,0.0,Amymouth,27.24,Delivered
2022-11-18,Central,Technology,Accessories,476.87,9.0,-70.89,Ashley Werner,df96b908,42dc3626-9,0.0,South Mary,38.24,Delivered
2025-06-16,South,Office Supplies,Binders,11.07,10.0,0.86,Stephen Hunt,2565e0fc,066068e1-0,0.1,South Charlesstad,39.76,Delivered
2024-09-19,Central,Technology,Phones,,4.0,113.04,Joe Johnson,21be0cb4,6b40fcad-a,0.0,West Michael,15.16,Delivered
2024-06-11,Central,Furniture,Tables,967.97,9.0,17.08,Mark Bennett,971a7896,e3cf4e14-d,0.2,Lake Brandonchester,17.47,Cancelled
2025-06-24,East,Office Supplies,Binders,221.82,7.0,33.78,Mary Miller,e36bc981,59abc439-1,0.1,East Mark,18.33,Returned
2025-02-16,Central,Office Supplies,Binders,457.95,6.0,72.63,Fernando Parker,dd962dd9,55f21039-f,0.1,Millerstad,22.18,Cancelled
2024-07-14,West,Office Supplies,Art,981.04,1.0,-181.81,Jill Dorsey,ba019243,df68b937-1,0.0,Lake Craig,8.04,Cancelled
2022-07-24,Central,Office Supplies,Binders,70.97,7.0,5.47,Tina Huerta,9001e2ff,15493510-6,0.0,West Michael,28.95,Delivered
2022-12-27,South,Furniture,Furnishings,457.67,8.0,93.03,Dominique Herrera,bfc48fb0,3ac48806-b,0.1,West Matthew,29.45,Cancelled
2025-06-14,West,Technology,Copiers,684.26,7.0,146.5,George Salazar,b5c44aff,aa910846-8,0.0,East Jason,38.37,Delivered
2023-03-08,Central,Office Supplies,Labels,917.9,2.0,6.66,Robert Chandler,7df60d32,0f134207-d,0.2,North Danielport,49.91,Delivered
2025-04-17,West,Technology,Copiers,326.6,4.0,56.77,Christine Hamilton,a0da9e6d,2875f3f5-8,0.2,Robertton,24.25,Delivered
2023-03-15,West,Furniture,Tables,327.28,3.0,16.31,Anthony Allen,c26d16b7,36cb134b-5,0.3,Port Paul,5.34,Delivered
2025-04-17,South,Office Supplies,Paper,27.04,10.0,5.86,Angel Burgess,57f9b0df,ee29835a-a,0.2,Shannonside,15.25,Delivered
2023-10-10,South,Office Supplies,Paper,705.17,10.0,14.66,Linda Collins,f93b7ce5,eaf49396-f,0.2,Michaelhaven,48.08,Cancelled
2025-02-09,Central,Furniture,Furnishings,43.37,2.0,6.62,Christina Carrillo,7cb72b77,e210c5cc-9,0.1,Lake Nataliechester,44.95,Returned
2025-07-09,West,Office Supplies,Binders,461.73,3.0,69.56,Timothy Lane,ec310c52,bad798b8-8,0.2,Romerofort,35.11,Returned
2024-02-26,South,Office Supplies,Paper,13.5,7.0,3.66,Matthew Lee,7f2853a6,6edd5a4e-9,0.0,Millerchester,44.98,In Transit
2024-06-28,South,Furniture,Bookcases,965.77,8.0,-25.37,James Brown,fe313667,f0aa9cd3-f,0.2,Lake Baileymouth,18.15,In Transit
2024-02-21,West,Furniture,Chairs,390.24,1.0,18.04,James Marshall,d343f560,7cc845cd-1,0.1,East Charlesborough,18.67,In Transit
2023-06-17,West,Furniture,Tables,232.73,1.0,-7.29,Ebony Tanner MD,dccf031d,91f05da8-8,0.0,Lake Justin,44.59,In Transit
2024-02-12,East,Office Supplies,Binders,63.51,3.0,10.95,Chase Johnson,980a6a0f,c7e66141-e,0.2,Lake Tina,25.26,In Transit
2025-03-15,West,Office Supplies,Binders,215.67,7.0,51.68,Benjamin Gutierrez,90d0f0ee,d5962099-a,0.1,North Vincent,5.99,Delivered
2024-05-17,South,Technology,Accessories,93.68,5.0,7.78,Jose Perez,57215280,6328fcf4-0,0.2,West Stephanieburgh,31.54,Cancelled
2024-04-29,Central,Furniture,Furnishings,263.44,9.0,,Anita Young,a75e1993,bc860572-d,0.2,West Maria,31.51,Delivered
2024-06-15,East,Furniture,Furnishings,,4.0,132.53,Michael Miller,2e71187f,6f942f93-a,0.1,Cervantesborough,26.62,Delivered
2024-08-24,East,Office Supplies,Binders,418.44,10.0,-22.3,Laura Cunningham,4b2a2adf,820a20c5-9,0.0,East Cynthia,25.7,Delivered
2024-03-23,Central,Furniture,Chairs,326.02,7.0,-40.12,Trevor Sanders,40220287,935c9a77-7,0.0,Robertsborough,40.42,Delivered
2023-12-21,East,Technology,Phones,,10.0,-2.55,Sue Nunez,a66b574f,210b6324-d,0.3,Scottview,49.62,In Transit
2023-11-20,West,Office Supplies,Paper,595.11,5.0,124.6,Jason Brooks,ebfaa498,36f0d23d-3,0.0,Kaitlinland,19.4,Delivered
2022-12-21,Central,Furniture,Chairs,502.04,,130.15,Kathleen Ballard,c327b83d,70140dc2-7,0.2,Bellton,39.93,In Transit
2025-03-20,South,Furniture,Furnishings,714.07,9.0,191.76,Patrick Chapman,60b6eba2,2aeb2034-e,0.1,West Austin,8.8,Delivered
2022-10-23,East,Furniture,Tables,117.38,3.0,-7.13,Courtney Peck,664a182d,0da9e7f2-f,0.1,South Julia,18.28,Delivered
2023-08-16,East,Office Supplies,Labels,34.75,6.0,2.78,Frank Williams,ac2cf1ac,ac01c6c5-f,0.2,Port Nicholaston,7.35,In Transit
2024-06-03,South,Furniture,Tables,,4.0,-2.35,Regina Rice,1e2cd117,9ede9307-6,0.2,Johnsonborough,46.62,Delivered
2023-01-05,West,Office Supplies,Art,969.28,1.0,-83.54,Jennifer Williams,97642854,d67ae1b8-b,0.2,Port Kristopherstad,39.5,Delivered
2022-10-19,Central,Technology,Accessories,688.07,9.0,150.86,Scott Contreras,c5ae0040,af4a1fc3-5,0.0,Clinemouth,31.19,In Transit
2023-06-21,Central,Office Supplies,Art,110.87,6.0,-5.27,Allison Mckay,de021560,f9cafd60-0,0.0,South Dalton,34.42,Delivered
2024-11-08,South,Office Supplies,Binders,750.6,7.0,-88.17,Mary Shea,d79c85c2,61975c78-b,0.1,Craigville,14.04,In Transit
2023-09-23,East,Office Supplies,Art,766.33,10.0,206.94,Catherine Smith,0381a812,90e5780f-3,0.0,North Paulhaven,49.65,Returned
2023-04-14,East,Furniture,Bookcases,99.82,2.0,7.24,Hannah Kim,9d4ed3b5,c3037934-3,0.0,New Thomasview,39.29,Delivered
2023-07-17,East,Technology,Copiers,727.25,4.0,-120.21,Johnny Paul,f911de27,2eadac72-a,0.0,Olsonfurt,21.11,Delivered
2024-06-30,South,Technology,Machines,110.98,8.0,-9.57,Mallory Schultz,15d949cf,70380db4-5,0.1,North Jeff,9.45,Delivered
2023-08-17,South,Technology,Accessories,544.1,7.0,110.88,Caroline Ramsey,61a7f622,b00a17c3-6,0.0,West Donnafort,13.92,Delivered
2024-06-23,Central,Office Supplies,Paper,626.81,2.0,183.8,Michelle Francis,5533c17d,7a1bc32b-a,0.1,East Sarah,45.57,In Transit
2024-09-12,East,Technology,Phones,961.01,4.0,-47.8,David Anderson,c42c2fc2,c55fdf0f-8,0.0,West Aaron,,In Transit
2024-02-06,West,Furniture,Furnishings,207.75,10.0,-23.55,Latoya Walker,eb17e81e,34501ea0-e,0.0,Elizabethview,35.72,Delivered
2024-05-10,Central,Technology,Accessories,424.88,6.0,101.09,Darin Smith,5c1adba9,8b5050c1-3,0.0,Lake Tanya,6.97,In Transit
2023-07-06,East,Technology,Phones,594.43,4.0,-13.07,Donna Hines,b2d4863e,06cfafe3-5,0.2,Gentryville,41.5,Delivered
2024-12-21,East,Technology,Phones,587.14,5.0,169.94,Debra Lopez,d2ec462c,c29e5e9b-7,0.0,Raymondtown,44.1,Delivered
2024-09-25,East,Office Supplies,Binders,260.85,9.0,-23.64,Craig Day,6af2f35e,dc8c4d7e-b,0.0,West Angelaberg,17.02,Returned
2023-10-09,East,Furniture,Furnishings,935.37,7.0,-12.78,Mrs. Leslie Schmidt,3e0c74fc,510ffac3-a,0.0,Johnsfurt,22.02,Delivered
2023-06-20,West,Office Supplies,Binders,537.76,3.0,98.21,William Nguyen,90cf9150,64b50677-4,0.3,Coffeyburgh,34.6,Delivered
2023-02-02,West,Furniture,Furnishings,809.98,5.0,-132.68,Linda Goodman,d89deae2,e4527990-9,0.2,Port Roberta,40.43,In Transit
2022-09-21,East,Office Supplies,Binders,881.45,4.0,257.15,Shelly Wise,cf58f492,3455efab-e,0.0,Charlesfort,37.46,Delivered
2023-05-11,West,Technology,Phones,287.01,7.0,82.87,Luis Peterson,d8086511,8d72ccf8-a,0.1,West Margaret,27.2,Delivered
2023-02-26,Central,Office Supplies,Binders,14.54,9.0,-2.69,Walter Luna,b7d2d427,b4aecbe9-d,0.0,South Annview,22.31,Delivered
2025-03-06,East,Furniture,Bookcases,708.91,4.0,-135.94,Ian Wright,1e383e71,814bef86-0,0.3,North Sarahshire,37.25,Delivered
2024-04-11,Central,Furniture,Tables,217.57,7.0,29.3,Jeremy Young,d7d9ba72,03be3072-1,0.0,North Yolandaside,23.73,Cancelled
2023-05-18,Central,Furniture,Furnishings,258.2,,54.33,Scott Valenzuela,caa9a078,22bfccd1-9,0.0,New Savannah,22.27,Delivered
2024-05-30,East,Furniture,Chairs,821.38,3.0,195.26,Kathryn Myers,705ae2ea,6d64c993-6,0.0,West Jermaine,20.87,Delivered
2023-02-14,South,Furniture,Chairs,717.19,4.0,3.11,Richard Allen,c48e2d4a,fc1c3cf0-d,0.0,Traceyville,20.17,In Transit
2024-09-19,East,Furniture,Tables,,2.0,-63.71,Carrie Ray DVM,02dee36a,30213996-3,0.0,Traciport,38.08,Delivered
2024-08-25,South,Office Supplies,Labels,822.14,2.0,227.31,Kimberly Marsh,e149b6ed,7648c4c9-9,0.1,,23.15,Cancelled
2025-07-08,Central,Office Supplies,Art,800.9,4.0,42.35,Steven Hernandez,add3245b,05fdf96d-d,,New Eric,33.93,Delivered
2023-12-07,East,Furniture,Tables,663.97,6.0,60.2,Alexis Solis,caf8aec7,cf77e2c4-e,0.2,New Brianbury,23.1,Delivered
2024-07-25,West,Furniture,Chairs,217.3,9.0,-28.16,Jason Terry,fc2a586b,62f3716e-0,0.2,Heatherton,44.67,Delivered
2024-10-03,South,Office Supplies,Binders,6.54,5.0,0.99,Kenneth Lee,ea338a02,60c4ea36-2,0.1,South Katherine,12.52,Delivered
2024-10-28,East,Technology,Phones,691.99,9.0,1.95,Cindy Lewis,a82d37a0,74ff5b67-3,0.1,Wilkinsmouth,28.63,Delivered
2022-12-10,Central,Office Supplies,Labels,428.44,3.0,-14.34,Matthew Chambers,d2f9de7c,e119a103-e,0.1,Burnsville,45.69,Delivered
2022-10-24,East,Furniture,Furnishings,456.11,4.0,102.45,Andres Cunningham,fd77aa76,2eda5e40-8,0.1,Tammymouth,,Delivered
2022-10-22,East,Office Supplies,Binders,717.51,2.0,56.04,Antonio Peterson,246f5411,0aafbaf7-d,0.0,South Leehaven,17.64,Delivered
2024-08-05,East,Technology,Accessories,835.49,9.0,199.49,Kimberly Thomas,ac537bf0,f85debf0-1,0.0,Richardborough,46.72,Delivered
2025-03-18,East,Office Supplies,Paper,443.9,4.0,-14.11,Brent Anderson,b959252e,c612e895-b,0.0,East Patrickfort,15.5,Delivered
2022-07-27,East,Technology,Phones,,10.0,-76.33,Danielle Arias,4a959c25,d503a024-b,0.0,West William,43.97,Delivered
2022-09-16,South,Office Supplies,Paper,652.4,8.0,-113.79,Julia Davis,8c5d2937,abfb3935-d,0.0,South Keith,33.4,Delivered
2024-03-02,East,Technology,Copiers,839.29,5.0,-20.49,Donna Young,e0634abb,54ff371d-e,0.1,Lake Thomas,10.26,Delivered
2023-08-06,East,Furniture,Chairs,925.71,7.0,-45.63,Darryl Boyer,3d26e0c5,acc8ae9b-3,0.0,Collinsfurt,16.14,Delivered
2024-03-18,West,Office Supplies,Art,138.54,7.0,-26.54,Jessica Anderson,fb8a5c2a,256d9e2a-c,0.1,South Brian,11.31,Delivered
2023-01-05,West,Office Supplies,Labels,807.28,,-87.59,Thomas Zimmerman,3553e015,a60fa0a3-e,0.1,Racheltown,8.52,Cancelled
2023-04-28,South,Furniture,Furnishings,685.59,9.0,-46.86,Michael Tanner,2f542ddc,db1c9aeb-c,0.0,Shellybury,26.0,In Transit
2025-01-31,Central,Office Supplies,Art,541.92,9.0,75.86,David Cummings,200f2582,58f01e13-6,0.2,Dicksonhaven,41.8,In Transit
2024-12-11,East,Technology,Copiers,367.75,6.0,-15.77,Anthony Nelson,475ac4cd,594ad624-7,0.2,New Robertburgh,25.06,In Transit
2023-06-03,West,Office Supplies,Labels,646.86,8.0,1.28,Christopher Jones,d8a1cb7d,c6073810-3,0.1,Lake Dawn,8.81,Delivered
2023-10-10,South,Furniture,Tables,582.84,2.0,-11.65,Jennifer Davis,63f4c869,3089278c-4,0.2,East Mariofort,23.82,Delivered
2025-01-17,South,Furniture,Chairs,242.11,5.0,-47.17,Claudia Weber,29880aa1,a87c3205-3,0.0,Meganberg,20.55,Delivered
2022-12-24,Central,Office Supplies,Labels,521.21,2.0,75.37,Theresa Hamilton,898dd445,fbc8c10c-7,0.0,Lake Christopherburgh,46.96,Delivered
2024-09-28,West,Office Supplies,Art,56.74,6.0,6.77,Megan Harper,3dbfaad7,17dc08d2-d,0.0,East Jamieport,9.73,Delivered
2025-06-13,West,Furniture,Bookcases,782.7,3.0,-115.89,Rachel Mclaughlin,b0219b56,d8695e18-8,0.3,Colemanborough,48.36,In Transit
2024-04-28,South,Furniture,Chairs,519.77,4.0,89.41,Rachel Mcdonald,24fd86b1,efcd43c5-8,0.0,Moorebury,8.03,In Transit
2024-01-02,West,Technology,Accessories,248.46,6.0,4.04,William Baker,277c4d3e,af353a96-a,0.0,Adrianburgh,35.94,In Transit
2023-08-04,Central,Office Supplies,Art,374.33,1.0,41.95,Stanley Davis,f4d15735,d57bc2e3-b,0.0,North Michael,39.41,Delivered
2024-12-15,South,Furniture,Furnishings,633.3,4.0,63.2,Austin Martinez,ac79dadc,ed5dc18d-5,0.0,Jenniferbury,46.15,Delivered
2022-07-24,Central,Technology,Accessories,312.41,7.0,-37.58,Allison Fernandez,3e4f30c1,5c03870f-9,0.0,Port Carrieville,37.14,Delivered
2022-08-14,West,Office Supplies,Art,819.51,6.0,-106.05,Kimberly Sullivan,1dc3785c,cd0c8c75-e,0.0,Waltonport,5.74,Delivered
2024-06-03,East,Technology,Accessories,888.04,1.0,-37.37,Tammy Gibson,565422cd,363af338-7,0.0,Marshallbury,14.64,Delivered
2022-09-21,West,Furniture,Bookcases,968.84,8.0,111.31,Jody Ponce,e66ac233,42190682-6,0.0,Port Cody,27.08,Returned
2023-09-27,Central,Furniture,Furnishings,961.16,10.0,209.09,Melissa Mitchell,9944d3a5,051d70b9-e,0.0,Mooreberg,23.16,Delivered
2024-07-14,West,Office Supplies,Labels,513.17,7.0,113.37,Jonathan Johnson,de680bc3,75bf76a2-7,0.1,New Matthewport,10.63,In Transit
2022-10-13,Central,Office Supplies,Art,62.29,7.0,-10.41,Heidi Peck,d9620c0b,88937ac7-c,0.0,South Edwardchester,38.44,Returned
2024-01-02,Central,Office Supplies,Paper,830.06,5.0,198.07,Michael Williams,4ccfcaa6,053b8866-6,0.1,Williamston,47.68,Delivered
2025-04-10,West,Office Supplies,Binders,988.12,2.0,-73.36,Tristan Martinez,cf04c7d9,7cd35e85-4,0.2,Port Scott,27.98,Delivered
2025-07-10,South,Furniture,Tables,722.25,6.0,51.82,Henry Walsh,2476ca26,9e4e77e9-e,0.2,Janiceborough,39.26,Delivered
2023-11-21,West,Office Supplies,Paper,149.67,3.0,6.24,Michelle Brooks,4336cb7c,e3ee41f7-0,0.2,Lake Gailville,10.67,Delivered
2023-01-14,Central,Technology,Copiers,730.71,3.0,82.11,Jennifer Hawkins,d7e63e98,bc4bc5fc-3,0.1,New Courtneybury,25.3,Delivered
2025-01-23,South,Technology,Copiers,,1.0,78.49,Steven Stein,d614d5be,0e4f0fb6-0,0.0,Johnmouth,13.74,Delivered
2025-03-18,South,Furniture,Tables,135.99,7.0,-15.02,Karen Green,24472e35,e27f4c9e-b,0.1,North Kevin,37.68,Delivered
2024-07-06,Central,Office Supplies,Binders,884.22,10.0,-174.59,Patricia Navarro,7b946e10,00d22fe5-1,0.2,Ritterborough,26.8,Delivered
2025-04-23,East,Furniture,Bookcases,8.49,3.0,-0.05,Amanda Perez,9029c09f,7aaed420-6,0.1,Bakerside,43.69,Delivered
2023-09-22,Central,Technology,Accessories,125.33,5.0,-10.69,Christopher West,fefe04b1,4f684ace-8,0.2,Taylorville,41.18,Cancelled
2023-05-10,Central,Office Supplies,Paper,33.95,4.0,6.2,Gina Berry,f783f8a9,b6be3ff5-a,0.2,Seanbury,13.78,Delivered
2023-05-06,Central,Office Supplies,Binders,43.62,10.0,7.5,Darrell Henry,31c89549,374b2b4b-7,0.0,Joneschester,25.19,Delivered
2025-05-08,West,Furniture,Chairs,430.46,6.0,41.19,James Maldonado,158cb883,586e2bd3-2,0.0,Port Alexis,19.74,Delivered
2023-07-28,Central,Furniture,Furnishings,634.0,6.0,86.03,Jonathan Ortiz,33546a1d,97945e9c-7,0.1,Lake Jonathanstad,20.62,Delivered
2025-05-03,East,Furniture,Tables,205.42,3.0,19.53,Alicia Sims,4e83554e,9854afe8-a,0.2,South Samanthaburgh,45.19,Delivered
2023-11-01,Central,Furniture,Bookcases,154.34,7.0,32.28,Elizabeth Russell,15b9beb5,eac6c5c5-d,0.0,South Tyler,18.4,Delivered
2023-03-21,West,Furniture,Bookcases,826.99,1.0,135.53,Olivia Franco,f60735a6,84d3731a-c,0.0,Taylorbury,47.59,Cancelled
2023-10-13,East,Furniture,Chairs,793.02,3.0,-1.71,Andrew Rodgers,ee9b70ce,92380030-5,0.2,Nathantown,17.41,Returned
2023-08-27,South,Office Supplies,Paper,661.72,10.0,180.2,Victoria Evans,5967cfb9,8fe91409-1,0.2,West Tammyview,32.42,In Transit
2024-10-02,Central,Technology,Phones,,1.0,35.59,Deborah Melendez,fbb58674,cd1c51ca-c,0.0,Timothyfort,40.57,Delivered
2023-06-08,West,Office Supplies,Art,158.93,5.0,47.59,John Schmitt,55d29df6,faccaef2-9,0.0,Scottfurt,15.4,Delivered
2025-03-17,West,Furniture,Chairs,381.43,8.0,78.98,Mr. Timothy Orr,d767ec5d,954ecfc1-9,0.0,Stephentown,15.78,Delivered
2025-02-25,Central,Furniture,Furnishings,934.32,6.0,196.18,Richard Mendoza,ebd7dd24,c5a1b9af-8,0.0,West Diana,46.83,Delivered
2024-05-02,Central,Technology,Accessories,951.57,5.0,165.46,Aaron Walker,5c6a9d49,6ef97d96-d,0.0,Erintown,,Cancelled
2024-07-30,South,Technology,Machines,389.12,7.0,-30.21,John Gordon,ebac01b0,71384248-3,0.1,Bryantmouth,9.98,Delivered
2025-02-05,East,Technology,Copiers,355.25,2.0,-67.85,Kelly Ryan,23031c6f,601f8944-b,,Whitneyton,7.07,Delivered
2023-04-17,East,Furniture,Furnishings,799.25,3.0,204.81,Amanda Hughes,8994a111,68fc0380-1,0.2,West Robert,11.01,Delivered
2025-04-21,South,Technology,Accessories,258.71,,-24.0,Lori Smith,9ba5a400,4476916e-2,0.3,Smithland,14.77,Delivered
2025-01-09,East,Furniture,Chairs,572.06,2.0,-32.77,Stephen Poole,755780e0,7ddcdfdc-9,0.1,Davidville,38.47,Returned
2024-07-05,Central,Office Supplies,Paper,262.3,8.0,71.17,Cynthia Jones,53b49866,002ae012-4,0.3,East Andrea,18.71,Delivered
2023-05-27,West,Office Supplies,Binders,904.09,4.0,-21.44,Michelle Brown,ba81f1b2,a534a120-b,0.3,South Cody,32.39,In Transit
2025-02-21,East,Office Supplies,Art,746.43,2.0,186.53,Danielle Robinson,8f4bffa4,c6118208-e,0.0,Morganchester,19.33,Delivered
2023-08-13,West,Technology,Accessories,922.72,6.0,224.67,David Farley,7a0f760f,583d93fe-5,0.1,Bateston,49.87,Cancelled
2024-09-29,West,Office Supplies,Art,217.0,6.0,30.51,Roger Tucker,1797f849,20c61403-2,0.0,Wandastad,25.2,In Transit
2023-07-06,South,Furniture,Furnishings,451.36,9.0,34.42,Lori Cuevas,f90771fd,cb540e6a-4,0.0,Jeffreyview,39.6,In Transit
2022-09-27,East,Office Supplies,Paper,248.02,8.0,,Derrick Campbell MD,cf30dfaf,3b22118b-8,0.1,East Allen,32.48,Delivered
2025-06-30,Central,Office Supplies,Binders,849.81,3.0,69.17,Mike Gomez,be4a9806,c028fcf9-b,0.1,New Amberfort,20.97,In Transit
2024-01-07,Central,Office Supplies,Art,122.04,8.0,7.71,Jesus Brown,6ecd7b4b,b475836d-0,0.0,Watkinsmouth,25.86,Delivered
2024-07-07,Central,Technology,Accessories,54.12,7.0,-4.51,Gerald Cohen,b44dc5d8,1361358c-a,0.3,Davidmouth,37.3,In Transit
2025-06-16,East,Furniture,Chairs,44.81,7.0,,Tina Kerr,53323bc6,fa54078c-d,0.0,Philipberg,20.77,Delivered
2022-10-03,South,Office Supplies,Art,690.36,10.0,147.61,Brian Moore,86a43f80,57b43625-0,0.1,Markhaven,7.0,Delivered
2023-01-07,South,Furniture,Bookcases,,8.0,150.97,Brittany Schwartz,2e9de9a5,3606758e-8,0.2,West Meaganstad,25.67,In Transit
2022-11-24,South,Furniture,Bookcases,981.95,8.0,,Stephanie Heath,9c128b89,bfdd3445-b,0.0,Port Colleen,35.1,Returned
